0,0,0
"
Diccionario Ingles-Español-TagalogCon partes de la oracion y pronunciacion figurada
","
Calderón, Sofronio G., 1878-1954?","Mar 4, 2007"
"
La Mejor Cocinera, Recetas de Cocina
","
Calleja (pseudonym)","Sep 1, 2005"
"
Música y Músicos Portorriqueños
","
Callejo Ferrer, Fernando, 1862-1926","Aug 4, 2013"
"
Política americana
","
Calvo, Alejandro","May 3, 2020"
"
La rana viajera
","
Camba, Julio, 1884?-1962","Oct 17, 2009"
"
Las noches mejicanas
","
Aimard, Gustave, 1818-1883","Mar 25, 2017"
"
Los Lusíadas: Poema épico en diez cantos
","
Camões, Luís de, 1524?-1580","Mar 10, 2021"
"
Biografia del libertador Simon Bolívar, ó La independencia de la América del sudReseña histórico-biográfica
","
Campano, Lorenzo","Feb 1, 2006"
"
Impresiones, Poesías
","
Campo Arana, José, 1847-1885","Jul 17, 2005"
"
Tres relatos porteñosSegunda edición
","
Cancela, Arturo, 1892-1957","Aug 20, 2020"
"
En viaje (1881-1882)
","
Cané, Miguel, 1851-1905","May 31, 2009"
"
Juvenilla; Prosa ligera
","
Cané, Miguel, 1851-1905","Dec 7, 2012"
"
Historia de la decadencia de España
","
Cánovas del Castillo, Antonio, 1828-1897","Oct 11, 2014"
"
Los ingenios:colección de vistas de los principles ingenios de azúcar de la isla de Cuba
","
Cantero, J. G. (Justo Germán), 1815-1871","Mar 30, 2012"
"
La Política de los Estados Unidos en el Continente Americano
","
Cárdenas y Echarte, Raúl de, 1884-1979","Apr 27, 2014"
"
Guerra de razas (Negros contra Blancos en Cuba)
","
Capmany, José M.","Oct 13, 2011"
"
Amar es vencer
","
Caro, Madame P.","Mar 27, 2008"
"
Eneida; v.1 de 2
","
Virgil, 70 BCE-19 BCE","Feb 25, 2020"
"
La copa de Verlaine
","
Carrere, Emilio, 1881-1947","Oct 29, 2007"
"
Historia de las Indias (vol. 1 de 5)
","
Casas, Bartolomé de las, 1484-1566","Jun 27, 2015"
"
Eneida; v. 2 de 2
","
Virgil, 70 BCE-19 BCE","Jan 19, 2022"
"
Historia de las Indias (vol. 3 de 5)
","
Casas, Bartolomé de las, 1484-1566","Sep 30, 2016"
"
Historia de las Indias (vol. 2 de 5)
","
Casas, Bartolomé de las, 1484-1566","Oct 31, 2015"
"
Historia de las Indias (vol. 4 de 5)
","
Casas, Bartolomé de las, 1484-1566","Jan 1, 2018"
"
Historia de las Indias (vol. 5 de 5)
","
Casas, Bartolomé de las, 1484-1566","Sep 23, 2016"
"
Recuerdos de Italia (parte 1 de 2)
","
Castelar, Emilio, 1832-1899","Dec 15, 2016"
"
La voz de la conseja, t.1Selección de las mejores novelas breves y cuentos de los más esclarecidos literatos
","
Baroja, Pío, 1872-1956","Sep 22, 2012"
